province,1,2,3,4
北京,841987,574407,574407,578389
天津,556368,470276,470276,554320
河北,3259219,2957916,2957916,3056084
山西,1344198,1302589,1302589,1307093
内蒙古,880160,785414,785414,798139
辽宁,1269992,1131110,1131110,1302528
吉林,641712,638059,638059,732101
黑龙江,751954,854616,854616,974547
上海,863030,625696,625696,640905
江苏,3612948,3160795,3160795,2989317
浙江,2321500,1974961,1974961,2339204
安徽,2334615,2146088,2146088,2250972
福建,2092569,1692052,1692052,1579813
江西,2034913,2168216,2168216,2253675
山东,4212134,3732653,3732653,3667208
河南,4253632,4143541,4143541,4544969
湖北,2085024,1875014,1875014,2054569
湖南,2665562,2536797,2536797,2742714
广东,5830604,4765126,4765126,4904441
广西,2215488,1863061,1863061,2174954
海南,428887,377278,377278,359310
重庆,1233798,1216709,1216709,1399552
四川,2622496,2465436,2465436,2868311
贵州,1618201,1464574,1464574,1583198
云南,1414928,1271336,1271336,1854049
西藏,82211,69878,69878,93381
陕西,1601672,1331812,1331812,1322481
甘肃,869519,789357,789357,827328
青海,229699,212677,212677,227265
宁夏,315327,298246,298246,306551
新疆,1054418,862849,862849,885981
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
