"year","g1","g2","g3","g4"
1998,0.0480707343945525,0.125167575089951,0.23629099397994,0.190990950148006
1999,0.0491037696076861,0.119176181481078,0.253333633839654,0.210992560373833
2000,0.0503132986087122,0.115044874785391,0.270396658182975,0.228765646742633
2001,0.0517722142974945,0.112824141957799,0.287500525555639,0.242484321965357
2002,0.0537380688125812,0.112528542726818,0.304665990751905,0.255439777407227
2003,0.0564427330986726,0.11416455499178,0.321914612307051,0.270538373783318
2004,0.0602128247886342,0.118104133450679,0.339263379471251,0.291141267217377
2005,0.0650370442723165,0.124112578875833,0.356700059170852,0.315881264890324
2006,0.0710269395542568,0.132482623389429,0.374204196103446,0.344710141996718
2007,0.0782449246299646,0.143493581287989,0.391746280298728,0.378880500489897
2008,0.0865768221061882,0.15708398101534,0.409279967641472,0.417932255129221
2009,0.0961253273460644,0.173463057648647,0.426786280682641,0.463208457987891
2010,0.106361830330606,0.191891257856502,0.444254613078643,0.509002877833812
2011,0.116855821551728,0.211738411752021,0.46167219540506,0.549989183488387
2012,0.127359743209948,0.232701305325325,0.479017605914191,0.58560222180103
2013,0.137448001514596,0.254117672124044,0.496269618134652,0.613360950514492
2014,0.146134885041246,0.274618412686355,0.513424305393923,0.633040363886696
2015,0.153979783000792,0.296317907695431,0.530511786103621,0.647828804824232
2016,0.161952561890001,0.319899067410127,0.547570930029032,0.659565368229475
2017,0.170924037256569,0.346031850382706,0.564634741473254,0.669452823841192
2018,0.180613097163765,0.375729856285571,0.581711877907238,0.678584746637191
2019,0.190915200490042,0.408398523998414,0.598804910093898,0.688417305361527
2020,0.201837374137081,0.44384211801861,0.615913011494431,0.701025317231005
2021,0.213041758112634,0.480903891872509,0.633024626293019,0.713584850383114
2022,0.224900141070551,0.519544109630115,0.650136350002971,0.726659811019648
2023,0.237337224669383,0.559959964437423,0.667248073712924,0.739970361797215
