"year","mean","lower","upper"
2001,0.073306638762277,-0.00526240859326301,0.14870376172488
2002,0.0792954544942123,0.00155162877723748,0.154098723638868
2003,0.0852551184342454,0.00837593391851012,0.159449028243146
2004,0.091180757530888,0.0152098831680451,0.16475140271957
2005,0.0970672293440356,0.0220523603310954,0.170002976507673
2006,0.102909167166923,0.0289020636528102,0.175201329955835
2007,0.108700969650681,0.0357578270903137,0.180344567177927
2008,0.114436770057753,0.0426189292734844,0.185431384748697
2009,0.120110387846325,0.0494854385895413,0.190461014170388
2010,0.125715185749986,0.0563586977973164,0.195432816296808
2011,0.131243592058311,0.0632421094187967,0.200345344370535
2012,0.13668577904211,0.0701424830128793,0.205195180269572
2013,0.14202669365997,0.0770723831498081,0.209977002558684
2014,0.147240897615825,0.0840541871432805,0.214687503624814
2015,0.152287965493089,0.0911264334733173,0.219336892887454
2016,0.157127311035331,0.0983475786057787,0.223974011258684
2017,0.161801358991952,0.105758791329264,0.228692530894656
2018,0.165765675001632,0.112395495245475,0.232730588053428
2019,0.169809054257245,0.11681504888568,0.236825673284979
2020,0.173868252719685,0.118206588788604,0.241000085837673
2021,0.177897334939788,0.118544979338227,0.245442589667757
2022,0.18192379469771,0.119668691189625,0.250618061960996
2023,0.186054490541219,0.121694755032494,0.25726999662276
2024,0.190504820925032,0.124211446064579,0.265087931704397
2025,0.195560070295617,0.126911181051029,0.270843456696419
2026,0.201169884671842,0.129648350354981,0.273412051977637
2027,0.206295930168011,0.132405462950082,0.274872731693595
2028,0.209784647014388,0.135293273556033,0.276270455778878
2029,0.211865499585227,0.138593650483496,0.277738240603885
2030,0.213294984455001,0.142773789586272,0.279264200181889
2031,0.21445924063996,0.148082952441876,0.280832768840197
2032,0.215462542832307,0.15318057974467,0.282430750537903
2033,0.21633463469911,0.155397439259844,0.284047955713769
2034,0.21709321196328,0.154721393692602,0.285677429122266
2035,0.217628399079545,0.152952219653256,0.287328384329581
2036,0.218051043407569,0.151209154117695,0.288978440827192
2037,0.21840033649822,0.149494517428979,0.290626252418393
2038,0.218703513133033,0.147797623736102,0.292273077976995
2039,0.218975240599253,0.146110556427823,0.293920144564884
2040,0.219223495069528,0.14442885635878,0.295568278563806
2041,0.219452879810101,0.142750112091664,0.297217863000322
2042,0.219666268284504,0.141073081650871,0.298868986026665
2043,0.219865605589536,0.139397201712017,0.300521565282255
2044,0.220052282776098,0.137722282290227,0.302175388117676
2045,0.220227362976856,0.136048350455297,0.303830164639339
2046,0.220391721290237,0.13437556173539,0.305485569164299
2047,0.220546122385902,0.132704132495544,0.307141256102283
2048,0.220691282712768,0.131034295598281,0.308796887543344
2049,0.220827917487031,0.129366261684829,0.310452162818658
2050,0.220956770572645,0.12770017358863,0.31210684270673
