"g1","g2","g3","g4","year"
0.20218084151344,0.343146200379955,0.559319824643358,0.673340865053872,1998
0.201498514909327,0.356259486436576,0.571526482575082,0.691468270985858,1999
0.201021149820064,0.369256561017226,0.583607551628618,0.708623614834912,2000
0.200846076960345,0.382283387543602,0.595586365001383,0.724856767468874,2001
0.201030909497793,0.395171534166259,0.607445143162003,0.740188333987024,2002
0.201613571426112,0.407786340232437,0.619176748922446,0.754580122318587,2003
0.202669251590977,0.420196920316174,0.630787037501859,0.767982538162421,2004
0.204312415693326,0.432472371948282,0.64228747895787,0.780582266443912,2005
0.206755548392057,0.44474005485894,0.653693809843758,0.792729363107161,2006
0.209998233003868,0.457244369117509,0.66500338611879,0.804431532728672,2007
0.213707692795065,0.469560495261639,0.676213933288786,0.815426708399937,2008
0.217605333223581,0.481332863958205,0.68732434148007,0.825572232189166,2009
0.221762415088303,0.492419452106251,0.69833283149972,0.8346988322638,2010
0.226228210780341,0.502540406304785,0.709233716850947,0.842612270490002,2011
0.230896151455724,0.511667756847672,0.720045515539435,0.848839090695269,2012
0.235771748674984,0.520038370749271,0.730788593894151,0.85350569868926,2013
0.240923968448108,0.527844916833648,0.74144701884746,0.8572557890452,2014
0.246460149390368,0.53519817585758,0.75200786744426,0.860370771439891,2015
0.252087752879072,0.542358143365822,0.762426287636632,0.862496427390841,2016
0.257405016417948,0.549210184822612,0.772647606588166,0.863364597979983,2017
0.262846942501141,0.556770411959947,0.782678620404834,0.862907587336428,2018
0.26855249356341,0.56454555225458,0.792509422891376,0.860989915353754,2019
0.27460488604558,0.572047474063692,0.802168371345266,0.857633550882763,2020
0.281245169297974,0.579045175963521,0.811644785768863,0.85259454228352,2021
0.288438990161984,0.585402578076267,0.820959386442335,0.845843956491076,2022
0.296114608854361,0.591503995628917,0.830167123798262,0.838655340530612,2023
