,year,age_group,myopia_rate_urban,myopia_rate_rural
0,1998,1,0.2166016641496144,0.10230221273325021
1,1998,2,0.3136510858618003,0.18446463350667916
2,1998,3,0.5870501221591246,0.3828733422166803
3,1998,4,0.768290191636453,0.6511048948138581
4,1999,1,0.22045429728411847,0.10394143479589214
5,1999,2,0.3227910797959603,0.18885698062923026
6,1999,3,0.5936086859210561,0.3876835429699805
7,1999,4,0.7691974252509423,0.6539353252839896
8,2000,1,0.2126977068216934,0.10844483508989923
9,2000,2,0.31954680017223513,0.18027878677401699
10,2000,3,0.5872916271634445,0.3958900377997138
11,2000,4,0.7827089976954019,0.6705170810502908
12,2001,1,0.22512840896542505,0.10735882989993448
13,2001,2,0.3338354583120158,0.19502239093801718
14,2001,3,0.598375815938281,0.3942148281340312
15,2001,4,0.7681963988547464,0.6519443183612003
16,2002,1,0.23450931769357164,0.12208824074917747
17,2002,2,0.37326085647034574,0.21778477401492333
18,2002,3,0.6228491593940491,0.4181184781854748
19,2002,4,0.7729997528898858,0.6665641970365903
20,2003,1,0.2398921732728738,0.12794705308464338
21,2003,2,0.3741543225229307,0.225071922326176
22,2003,3,0.6127716066708558,0.42416641373804453
23,2003,4,0.7723519684814434,0.663651058445589
24,2004,1,0.2521483631444536,0.13775020936055882
25,2004,2,0.4021485849195043,0.24335306464556716
26,2004,3,0.6267279035434832,0.44844553316359254
27,2004,4,0.7750053464840838,0.6750039324985171
28,2005,1,0.2835708289129467,0.16459376216754917
29,2005,2,0.46420952614805955,0.27400961217343417
30,2005,3,0.6518887797359318,0.47073369288849903
31,2005,4,0.7839813282817796,0.7132957591543532
32,2006,1,0.2539501778240681,0.15348800831704787
33,2006,2,0.42187326214924165,0.25397236352434027
34,2006,3,0.6227720477928649,0.45182948473442136
35,2006,4,0.7759810859909994,0.6633527867124013
36,2007,1,0.28782988344732124,0.18227237127653856
37,2007,2,0.47495898225109984,0.29615910811134827
38,2007,3,0.6615624259850303,0.5122520630062677
39,2007,4,0.7854927907405418,0.6938584167624025
40,2008,1,0.2779845742386653,0.18940203076915288
41,2008,2,0.4909027149549688,0.30632272025532364
42,2008,3,0.6688789925797387,0.5060853975899599
43,2008,4,0.7876220731287439,0.6870122619997971
44,2009,1,0.29632089787184135,0.200627101206816
45,2009,2,0.5119266191454852,0.3269287139231839
46,2009,3,0.6774376253707962,0.5240430494393631
47,2009,4,0.7943355072652311,0.6980261053720589
48,2010,1,0.3676855432146612,0.2332837898388362
49,2010,2,0.5825731597127151,0.3693217098040629
50,2010,3,0.7486132022820269,0.5540553540580205
51,2010,4,0.8222117357790948,0.7275444429663702
52,2011,1,0.3072912846681767,0.22652331991662464
53,2011,2,0.5449659990318672,0.36760085163632567
54,2011,3,0.7091609703468605,0.5627232334056703
55,2011,4,0.7985775727134923,0.7140732146208877
56,2012,1,0.2969040184597243,0.22248169361682477
57,2012,2,0.5489127598844266,0.3670644633570732
58,2012,3,0.7090409933102569,0.5714443684146305
59,2012,4,0.8082203891409995,0.7193152538802132
60,2013,1,0.3096526886150188,0.23709957950522087
61,2013,2,0.5470801814567119,0.3944579453442787
62,2013,3,0.7048177139369803,0.5847224940758746
63,2013,4,0.8018285073056627,0.7267321676564762
64,2014,1,0.3355831738124316,0.24999702039834407
65,2014,2,0.5795795596965259,0.39663636889391596
66,2014,3,0.7408694927530702,0.6028398218736115
67,2014,4,0.7955201796362547,0.7322160010501004
68,2015,1,0.2854223850819535,0.23372657518420148
69,2015,2,0.5165028540339471,0.4160340439610584
70,2015,3,0.6978332441432052,0.6005345274369858
71,2015,4,0.8041167936115504,0.7423657080831457
72,2016,1,0.2838316188226196,0.22740761622820857
73,2016,2,0.5605130590656331,0.44466566398733703
74,2016,3,0.6884607566545604,0.5896456100561035
75,2016,4,0.8117693403746967,0.7612026485585173
76,2017,1,0.2795353736897759,0.22112731001640334
77,2017,2,0.5330539529161772,0.4439483945823224
78,2017,3,0.6834578178074302,0.5903295833731825
79,2017,4,0.8144264707452825,0.7701566483990558
80,2018,1,0.24116885435195745,0.21986463114477864
81,2018,2,0.5450621225836585,0.4726644102741518
82,2018,3,0.6834498972016416,0.5930661080163903
83,2018,4,0.8259888972251459,0.7903020078238352
84,2019,1,0.28384951713884754,0.2225539851081916
85,2019,2,0.5890232613018008,0.48142353193583093
86,2019,3,0.623397393429007,0.5253265352303637
87,2019,4,0.8432909978896974,0.813108883932243
88,2020,1,0.2681700188160614,0.21574073860880214
89,2020,2,0.5713894265954933,0.4822121825647796
90,2020,3,0.6806252718209915,0.5880406375683628
91,2020,4,0.8307839920533517,0.8088517142730002
92,2021,1,0.27659523556652493,0.2178317476226777
93,2021,2,0.5951099376344509,0.49193122972829195
94,2021,3,0.6930095538436574,0.5745026912198724
95,2021,4,0.8416789350063765,0.8060410215514936
96,2022,1,0.27663347722826664,0.21668376059036065
97,2022,2,0.5870193770072978,0.5162111393717675
98,2022,3,0.6691819768497494,0.5958228025222864
99,2022,4,0.832117994361126,0.8136575056977482
