"","year","rate","fitted","upper","lower"
"1",1998,0.367576613027437,0.35764788405518,0.414193440351551,0.301102327758809
"2",1999,0.373642589602285,0.366677108847807,0.423222665144178,0.310131552551436
"3",2000,0.392923330109707,0.374375991140841,0.430921547437212,0.31783043484447
"4",2001,0.365845036033283,0.381110513684975,0.437656069981346,0.324564957388604
"5",2002,0.390178475024307,0.388820839921496,0.445366396217867,0.332275283625125
"6",2003,0.359621502372409,0.398248587653823,0.454794143950194,0.341703031357452
"7",2004,0.393959003447907,0.410965714282641,0.467511270579012,0.35442015798627
"8",2005,0.485177325333339,0.425510338522959,0.48205589481933,0.368964782226588
"9",2006,0.380324778529892,0.439342723048642,0.495888279345013,0.382797166752271
"10",2007,0.463816460501753,0.456092761815752,0.512638318112123,0.399547205519381
"11",2008,0.444783854122281,0.47427937909322,0.530824935389591,0.417733822796849
"12",2009,0.473713068265174,0.493926552443114,0.550472108739485,0.437380996146743
"13",2010,0.588915175129792,0.512674611875383,0.569220168171754,0.456129055579012
"14",2011,0.527482387168462,0.525860437453467,0.582405993749838,0.469314881157096
"15",2012,0.529750395310537,0.535293069099878,0.591838625396249,0.478747512803507
"16",2013,0.551223686465454,0.54187882141063,0.598424377707001,0.485333265114259
"17",2014,0.582358438132308,0.544957310634071,0.601502866930442,0.4884117543377
"18",2015,0.54863364830198,0.543917057343678,0.600462613640049,0.487371501047307
"19",2016,0.533786829859605,0.540976258948322,0.597521815244693,0.484430702651951
"20",2017,0.502158665368382,0.538508128342187,0.595053684638558,0.481962572045816
"21",2018,0.522160544200132,0.538584419111514,0.595129975407885,0.482038862815143
"22",2019,0.539209134493512,0.540650056205872,0.597195612502243,0.484104499909501
"23",2020,0.548473089018508,0.543404057616728,0.599949613913099,0.486858501320357
"24",2021,0.553731243525808,0.545871328217669,0.602416884514041,0.489325771921298
"25",2022,0.547748704716108,0.547620027290478,0.604165583586849,0.491074470994107
